database_code,domain_name,database_group,language_code,language_name,editability,status,visibility,english_name
elwikivoyage,el.wikivoyage.org,wikivoyage,el,Greek,public,open,public,Greek Wikivoyage
elwiktionary,el.wiktionary.org,wiktionary,el,Greek,public,open,public,Greek Wiktionary
emlwiki,eml.wikipedia.org,wikipedia,eml,Emiliano-Romagnolo,public,open,public,Emiliano-Romagnolo Wikipedia
enwiki,en.wikipedia.org,wikipedia,en,English,public,open,public,English Wikipedia
enwikibooks,en.wikibooks.org,wikibooks,en,English,public,open,public,English Wikibooks
enwikinews,en.wikinews.org,wikinews,en,English,public,open,public,English Wikinews
enwikiquote,en.wikiquote.org,wikiquote,en,English,public,open,public,English Wikiquote
enwikisource,en.wikisource.org,wikisource,en,English,public,open,public,English Wikisource
enwikiversity,en.wikiversity.org,wikiversity,en,English,public,open,public,English Wikiversity
enwikivoyage,en.wikivoyage.org,wikivoyage,en,English,public,open,public,English Wikivoyage
enwiktionary,en.wiktionary.org,wiktionary,en,English,public,open,public,English Wiktionary
eowiki,eo.wikipedia.org,wikipedia,eo,Esperanto,public,open,public,Esperanto Wikipedia
eowikibooks,eo.wikibooks.org,wikibooks,eo,Esperanto,public,open,public,Esperanto Wikibooks
eowikinews,eo.wikinews.org,wikinews,eo,Esperanto,public,open,public,Esperanto Wikinews
eowikiquote,eo.wikiquote.org,wikiquote,eo,Esperanto,public,open,public,Esperanto Wikiquote
eowikisource,eo.wikisource.org,wikisource,eo,Esperanto,public,open,public,Esperanto Wikisource
eowiktionary,eo.wiktionary.org,wiktionary,eo,Esperanto,public,open,public,Esperanto Wiktionary
eswiki,es.wikipedia.org,wikipedia,es,Spanish,public,open,public,Spanish Wikipedia
eswikibooks,es.wikibooks.org,wikibooks,es,Spanish,public,open,public,Spanish Wikibooks
eswikinews,es.wikinews.org,wikinews,es,Spanish,public,open,public,Spanish Wikinews
eswikiquote,es.wikiquote.org,wikiquote,es,Spanish,public,open,public,Spanish Wikiquote
eswikisource,es.wikisource.org,wikisource,es,Spanish,public,open,public,Spanish Wikisource
eswikiversity,es.wikiversity.org,wikiversity,es,Spanish,public,open,public,Spanish Wikiversity
eswikivoyage,es.wikivoyage.org,wikivoyage,es,Spanish,public,open,public,Spanish Wikivoyage
eswiktionary,es.wiktionary.org,wiktionary,es,Spanish,public,open,public,Spanish Wiktionary
etwiki,et.wikipedia.org,wikipedia,et,Estonian,public,open,public,Estonian Wikipedia
etwikibooks,et.wikibooks.org,wikibooks,et,Estonian,public,open,public,Estonian Wikibooks
etwikimedia,ee.wikimedia.org,etwikimedia,en,English,public,open,public,Wikimedia Estonia
etwikiquote,et.wikiquote.org,wikiquote,et,Estonian,public,open,public,Estonian Wikiquote
etwikisource,et.wikisource.org,wikisource,et,Estonian,public,open,public,Estonian Wikisource
etwiktionary,et.wiktionary.org,wiktionary,et,Estonian,public,open,public,Estonian Wiktionary
euwiki,eu.wikipedia.org,wikipedia,eu,Basque,public,open,public,Basque Wikipedia
euwikibooks,eu.wikibooks.org,wikibooks,eu,Basque,public,open,public,Basque Wikibooks
euwikiquote,eu.wikiquote.org,wikiquote,eu,Basque,public,open,public,Basque Wikiquote
euwikisource,eu.wikisource.org,wikisource,eu,Basque,public,open,public,Basque Wikisource
euwiktionary,eu.wiktionary.org,wiktionary,eu,Basque,public,open,public,Basque Wiktionary
execwiki,exec.wikimedia.org,exec,en,English,private,open,private,Wikimedia Executive
extwiki,ext.wikipedia.org,wikipedia,ext,Extremaduran,public,open,public,Extremaduran Wikipedia
fawiki,fa.wikipedia.org,wikipedia,fa,Persian,public,open,public,Persian Wikipedia
fawikibooks,fa.wikibooks.org,wikibooks,fa,Persian,public,open,public,Persian Wikibooks
fawikinews,fa.wikinews.org,wikinews,fa,Persian,public,open,public,Persian Wikinews
fawikiquote,fa.wikiquote.org,wikiquote,fa,Persian,public,open,public,Persian Wikiquote
fawikisource,fa.wikisource.org,wikisource,fa,Persian,public,open,public,Persian Wikisource
fawikivoyage,fa.wikivoyage.org,wikivoyage,fa,Persian,public,open,public,Persian Wikivoyage
fawiktionary,fa.wiktionary.org,wiktionary,fa,Persian,public,open,public,Persian Wiktionary
fdcwiki,fdc.wikimedia.org,fdc,en,English,private,open,private,Wikimedia FDC
ffwiki,ff.wikipedia.org,wikipedia,ff,Fulah,public,open,public,Fulah Wikipedia
fiu_vrowiki,fiu-vro.wikipedia.org,wikipedia,fiu-vro,Võro,public,open,public,Võro Wikipedia
fiwiki,fi.wikipedia.org,wikipedia,fi,Finnish,public,open,public,Finnish Wikipedia
fiwikibooks,fi.wikibooks.org,wikibooks,fi,Finnish,public,open,public,Finnish Wikibooks
fiwikimedia,fi.wikimedia.org,fiwikimedia,en,English,public,open,public,Wikimedia Finland
fiwikinews,fi.wikinews.org,wikinews,fi,Finnish,public,open,public,Finnish Wikinews
fiwikiquote,fi.wikiquote.org,wikiquote,fi,Finnish,public,open,public,Finnish Wikiquote
fiwikisource,fi.wikisource.org,wikisource,fi,Finnish,public,open,public,Finnish Wikisource
fiwikiversity,fi.wikiversity.org,wikiversity,fi,Finnish,public,open,public,Finnish Wikiversity
fiwikivoyage,fi.wikivoyage.org,wikivoyage,fi,Finnish,public,open,public,Finnish Wikivoyage
fiwiktionary,fi.wiktionary.org,wiktionary,fi,Finnish,public,open,public,Finnish Wiktionary
fjwiki,fj.wikipedia.org,wikipedia,fj,Fijian,public,open,public,Fijian Wikipedia
fjwiktionary,fj.wiktionary.org,wiktionary,fj,Fijian,public,open,public,Fijian Wiktionary
foundationwiki,foundation.wikimedia.org,foundation,en,English,private,open,public,Wikimedia Foundation
fowiki,fo.wikipedia.org,wikipedia,fo,Faroese,public,open,public,Faroese Wikipedia
fowikisource,fo.wikisource.org,wikisource,fo,Faroese,public,open,public,Faroese Wikisource
fowiktionary,fo.wiktionary.org,wiktionary,fo,Faroese,public,open,public,Faroese Wiktionary
frpwiki,frp.wikipedia.org,wikipedia,frp,Arpitan,public,open,public,Arpitan Wikipedia
frrwiki,frr.wikipedia.org,wikipedia,frr,Northern Frisian,public,open,public,Northern Frisian Wikipedia
frwiki,fr.wikipedia.org,wikipedia,fr,French,public,open,public,French Wikipedia
frwikibooks,fr.wikibooks.org,wikibooks,fr,French,public,open,public,French Wikibooks
frwikinews,fr.wikinews.org,wikinews,fr,French,public,open,public,French Wikinews
frwikiquote,fr.wikiquote.org,wikiquote,fr,French,public,open,public,French Wikiquote
frwikisource,fr.wikisource.org,wikisource,fr,French,public,open,public,French Wikisource
frwikiversity,fr.wikiversity.org,wikiversity,fr,French,public,open,public,French Wikiversity
frwikivoyage,fr.wikivoyage.org,wikivoyage,fr,French,public,open,public,French Wikivoyage
frwiktionary,fr.wiktionary.org,wiktionary,fr,French,public,open,public,French Wiktionary
furwiki,fur.wikipedia.org,wikipedia,fur,Friulian,public,open,public,Friulian Wikipedia
fywiki,fy.wikipedia.org,wikipedia,fy,Western Frisian,public,open,public,Western Frisian Wikipedia
fywikibooks,fy.wikibooks.org,wikibooks,fy,Western Frisian,public,open,public,Western Frisian Wikibooks
fywiktionary,fy.wiktionary.org,wiktionary,fy,Western Frisian,public,open,public,Western Frisian Wiktionary
gagwiki,gag.wikipedia.org,wikipedia,gag,Gagauz,public,open,public,Gagauz Wikipedia
ganwiki,gan.wikipedia.org,wikipedia,gan,Gan Chinese,public,open,public,Gan Chinese Wikipedia
gawiki,ga.wikipedia.org,wikipedia,ga,Irish,public,open,public,Irish Wikipedia
gawikibooks,ga.wikibooks.org,wikibooks,ga,Irish,public,closed,public,Irish Wikibooks
gawikiquote,ga.wikiquote.org,wikiquote,ga,Irish,public,closed,public,Irish Wikiquote
gawiktionary,ga.wiktionary.org,wiktionary,ga,Irish,public,open,public,Irish Wiktionary
gcrwiki,gcr.wikipedia.org,wikipedia,gcr,Guianan Creole,public,open,public,Guianan Creole Wikipedia
gdwiki,gd.wikipedia.org,wikipedia,gd,Scottish Gaelic,public,open,public,Scottish Gaelic Wikipedia
gdwiktionary,gd.wiktionary.org,wiktionary,gd,Scottish Gaelic,public,open,public,Scottish Gaelic Wiktionary
gewikimedia,ge.wikimedia.org,gewikimedia,ka,Georgian,private,open,public,Wikimedia Community User Group Georgia
